userId,movieId,rating
1,2,1
1,3,3
1,12,5
1,14,5
1,21,3
1,40,3
1,41,4
1,47,2
1,48,1
1,55,2
1,81,5
1,94,1
1,105,2
1,108,3
1,142,1
1,149,1
2,32,2
2,44,2
2,54,4
2,64,1
2,86,2
2,92,4
2,104,4
2,106,2
2,110,5
2,113,2
2,114,5
2,124,5
2,131,2
2,141,4
2,150,2
3,4,2
3,5,3
3,11,5
3,20,4
3,32,4
3,40,5
3,45,2
3,56,1
3,66,3
3,68,4
3,69,5
3,109,5
3,113,5
3,115,5
3,120,2
3,134,2
3,136,3
3,137,5
4,9,4
4,13,4
4,40,5
4,41,5
4,46,3
4,51,2
4,74,2
4,75,1
4,90,4
4,92,5
4,100,1
4,101,4
4,102,2
4,108,5
4,126,4
4,137,4
4,138,1
4,142,4
4,150,2
5,22,2
5,30,5
5,42,1
5,44,3
5,46,2
5,51,1
5,69,4
5,87,5
5,95,3
5,101,3
5,102,4
5,106,2
5,114,1
5,119,2
5,128,1
5,143,2
6,10,3
6,17,1
6,19,4
6,21,4
6,26,1
6,29,3
6,34,3
6,36,2
6,37,3
6,38,5
6,50,4
6,53,3
6,63,1
6,71,1
6,75,5
6,76,1
6,80,2
6,97,2
7,10,3
7,22,1
7,42,1
7,54,2
7,64,3
7,69,2
7,84,4
7,96,4
7,101,5
7,103,2
7,118,5
7,119,5
7,120,3
7,129,1
7,131,3
7,139,2
8,1,5
8,4,2
8,9,4
8,24,3
8,25,3
8,26,3
8,41,4
8,52,2
8,70,1
8,72,5
8,106,3
8,111,5
8,114,3
8,123,1
8,150,2
9,17,4
9,20,5
9,24,1
9,36,1
9,41,2
9,49,5
9,51,1
9,57,4
9,62,3
9,80,2
9,81,1
9,85,2
9,118,4
9,141,3
9,143,2
9,145,5
9,149,5
10,35,4
10,38,2
10,43,1
10,44,2
10,57,4
10,63,5
10,68,4
10,73,4
10,80,2
10,96,2
10,113,4
10,126,1
10,130,1
10,136,4
10,140,3
10,142,3
11,14,3
11,21,2
11,54,5
11,58,1
11,60,5
11,90,1
11,91,5
11,109,4
11,113,1
11,126,3
11,138,1
11,143,1
12,25,5
12,26,1
12,27,2
12,29,2
12,43,3
12,46,5
12,62,2
12,66,1
12,68,1
12,77,4
12,79,2
12,96,3
12,100,5
12,101,2
12,106,3
12,116,5
12,120,2
13,1,2
13,3,4
13,5,3
13,6,3
13,11,3
13,22,5
13,48,1
13,49,2
13,60,2
13,64,3
13,66,4
13,77,4
13,88,1
13,126,3
13,140,5
13,150,4
14,11,1
14,33,2
14,39,3
14,44,3
14,49,5
14,58,2
14,63,4
14,87,5
14,102,3
14,108,3
14,111,5
14,115,2
14,128,5
14,130,4
14,139,2
14,148,1
15,17,1
15,22,3
15,24,5
15,26,2
15,27,3
15,46,2
15,67,5
15,74,4
15,79,3
15,83,3
15,84,1
15,91,3
15,98,5
15,104,2
15,105,2
15,125,5
16,14,5
16,17,4
16,21,4
16,23,2
16,24,4
16,27,4
16,36,1
16,47,3
16,59,5
16,66,1
16,79,5
16,81,3
16,84,1
16,100,2
16,103,4
16,116,1
16,144,1
16,147,5
17,13,5
17,24,4
17,27,5
17,31,2
