method,userId,movie
User-Based,7,142
User-Based,7,30
User-Based,7,43
User-Based,7,3
User-Based,7,11
Item-Based,7,150
Item-Based,7,80
Item-Based,7,117
Item-Based,7,140
Item-Based,7,16
User-Based,8,17
User-Based,8,20
User-Based,8,36
User-Based,8,49
User-Based,8,81
Item-Based,8,13
Item-Based,8,54
Item-Based,8,141
Item-Based,8,39
Item-Based,8,142
User-Based,15,12
User-Based,15,28
User-Based,15,42
User-Based,15,54
User-Based,15,56
Item-Based,15,75
Item-Based,15,7
Item-Based,15,141
Item-Based,15,80
Item-Based,15,43
User-Based,3,116
User-Based,3,22
User-Based,3,30
User-Based,3,78
User-Based,3,89
Item-Based,3,63
Item-Based,3,89
Item-Based,3,90
Item-Based,3,61
Item-Based,3,142
User-Based,4,64
User-Based,4,104
User-Based,4,110
User-Based,4,113
User-Based,4,141
Item-Based,4,140
Item-Based,4,135
Item-Based,4,59
Item-Based,4,34
Item-Based,4,47
